                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                0.81464,                0.50556,                0.90628,                0.94064,                0.92217,                0.94747,                0.70712,                0.86408,                0.49899,                 0.9228,             0.00030402,             0.00030402,             0.00030402
                     61,                0.80389,                0.49559,                0.89706,                0.94399,                0.91529,                0.94967,                 0.7064,                0.86335,                0.49536,                0.91691,             0.00029695,             0.00029695,             0.00029695
                     62,                0.80372,                0.49654,                0.89923,                0.95261,                0.91075,                0.94555,                0.71325,                0.84654,                0.49498,                 0.9133,             0.00028988,             0.00028988,             0.00028988
                     63,                0.79625,                0.49145,                0.89331,                0.94438,                0.91973,                0.94753,                0.71105,                0.86149,                0.49118,                0.92336,             0.00028282,             0.00028282,             0.00028282
                     64,                0.78836,                0.48528,                0.89289,                0.94859,                0.91522,                0.94805,                0.70971,                  0.862,                0.49095,                0.91857,             0.00027575,             0.00027575,             0.00027575
                     65,                0.80353,                0.48576,                0.89141,                0.95636,                0.90559,                0.94908,                0.71312,                0.86251,                0.49854,                0.91836,             0.00026868,             0.00026868,             0.00026868
                     66,                0.79235,                0.48576,                0.89646,                0.93952,                0.90613,                0.94721,                0.71004,                0.86134,                0.49395,                0.92182,             0.00026161,             0.00026161,             0.00026161
                     67,                0.79698,                0.48014,                0.89601,                0.94203,                0.91426,                0.94935,                0.71378,                0.85981,                0.49301,                0.91331,             0.00025454,             0.00025454,             0.00025454
                     68,                 0.7689,                 0.4738,                0.88568,                0.93083,                0.92672,                0.95398,                0.71279,                 0.8667,                 0.4902,                0.92678,             0.00024747,             0.00024747,             0.00024747
                     69,                0.78125,                0.47328,                0.89057,                0.94201,                0.91801,                0.95403,                0.71788,                0.85077,                0.48109,                0.91489,              0.0002404,              0.0002404,              0.0002404
                     70,                0.76004,                0.46659,                0.89109,                 0.9456,                0.92042,                0.95323,                0.72041,                0.84463,                0.47599,                0.91472,             0.00023334,             0.00023334,             0.00023334
                     71,                 0.7867,                0.47246,                0.87863,                 0.9477,                0.92259,                0.95163,                0.71612,                0.85281,                0.47858,                0.91664,             0.00022627,             0.00022627,             0.00022627
                     72,                 0.7701,                0.46358,                  0.887,                0.96108,                0.91016,                0.94616,                0.71287,                0.86002,                0.47822,                0.91636,              0.0002192,              0.0002192,              0.0002192
                     73,                0.76342,                0.45829,                0.89209,                0.94875,                0.93261,                0.95118,                 0.7166,                0.85397,                0.47742,                0.91243,             0.00021213,             0.00021213,             0.00021213
                     74,                0.76537,                0.45391,                0.87969,                0.94178,                0.92982,                0.95458,                0.71685,                0.83889,                0.48093,                0.90713,             0.00020506,             0.00020506,             0.00020506
